FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
221,310461487605,750.7344,750,1106,-64.4,700,0.7,150,01_raw_frames\frame_0221.csv,02_lde_aligned\frame_0221_aligned.csv,22.0001269187732
222,316851282059,744.75,744,1336,-70.62,694,0.7,150,01_raw_frames\frame_0222.csv,02_lde_aligned\frame_0222_aligned.csv,22.1001274579796
223,323241076471,747.4219,747,1405,-70.24,697,0.7,150,01_raw_frames\frame_0223.csv,02_lde_aligned\frame_0223_aligned.csv,22.2001279965288
224,329630870934,749.0625,749,1141,-67.01,699,0.7,150,01_raw_frames\frame_0224.csv,02_lde_aligned\frame_0224_aligned.csv,22.3001285358762
225,336020664793,749.9219,749,1198,-64.99,699,0.7,150,01_raw_frames\frame_0225.csv,02_lde_aligned\frame_0225_aligned.csv,22.4001290657709
226,342410459180,752.1562,752,1046,-62.66,702,0.7,150,01_raw_frames\frame_0226.csv,02_lde_aligned\frame_0226_aligned.csv,22.5001296039288
227,348800253536,744.2812,744,1186,-64.57,694,0.7,150,01_raw_frames\frame_0227.csv,02_lde_aligned\frame_0227_aligned.csv,22.6001301416016
228,355190047906,746.6562,746,1299,-68.18,696,0.7,150,01_raw_frames\frame_0228.csv,02_lde_aligned\frame_0228_aligned.csv,22.7001306794934
229,361579841706,746.5469,746,1291,-68.29,696,0.7,150,01_raw_frames\frame_0229.csv,02_lde_aligned\frame_0229_aligned.csv,22.8001312084648
230,367969636008,746.2812,746,1226,-64.52,696,0.7,150,01_raw_frames\frame_0230.csv,02_lde_aligned\frame_0230_aligned.csv,22.9001317452925
231,374359430394,745.6875,745,1113,-64.54,695,0.7,150,01_raw_frames\frame_0231.csv,02_lde_aligned\frame_0231_aligned.csv,23.0001322834347
232,380749224623,745.1875,745,1422,-70.76,695,0.7,150,01_raw_frames\frame_0232.csv,02_lde_aligned\frame_0232_aligned.csv,23.10013281912
233,387139018891,752.5312,752,1169,-67.36,702,0.7,150,01_raw_frames\frame_0233.csv,02_lde_aligned\frame_0233_aligned.csv,23.2001333554155
